#Step   Etot   PotE Ktot  T
589 0.405533 -1.489152  1.894685 1.89
590 0.400980 -1.507278  1.908257 1.91
591 0.396335 -1.525303  1.921638 1.92
592 0.391574 -1.542083  1.933658 1.93
593 0.386680 -1.557277  1.943957 1.94
594 0.381636 -1.571134  1.952770 1.95
595 0.376429 -1.584302  1.960731 1.96
596 0.371042 -1.597622  1.968664 1.97
597 0.365457 -1.611915  1.977372 1.98
598 0.359654 -1.627773  1.987428 1.99
599 0.353621 -1.645406  1.999026 2.00
600 0.347346 -1.664578  2.011925 2.01
601 0.340827 -1.684653  2.025480 2.03
602 0.334062 -1.704707  2.038769 2.04
603 0.327054 -1.723697  2.050751 2.05
604 0.319805 -1.740615  2.060421 2.06
605 0.312323 -1.754611  2.066933 2.07
606 0.304613 -1.765063  2.069676 2.07
607 0.296688 -1.771606  2.068293 2.07
608 0.288559 -1.774111  2.062670 2.06
609 0.280243 -1.772648  2.052891 2.05
610 0.271761 -1.767429  2.039189 2.04
611 0.263132 -1.758746  2.021879 2.02
612 0.254383 -1.746923  2.001306 2.00
613 0.245538 -1.732265  1.977803 1.98
614 0.236627 -1.715044  1.951671 1.95
615 0.227682 -1.695498  1.923179 1.92
