#Step   Etot   PotE Ktot  T
553 -0.994577 -2.029464  1.034887 1.03
554 -0.994560 -2.013206  1.018647 1.02
555 -0.994540 -1.997571  1.003031 1.00
556 -0.994519 -1.982907  0.988388 0.99
557 -0.994496 -1.969585  0.975089 0.98
558 -0.994473 -1.957992  0.963519 0.96
559 -0.994453 -1.948501  0.954048 0.95
560 -0.994439 -1.941438  0.946999 0.95
561 -0.994431 -1.937044  0.942612 0.94
562 -0.994432 -1.935442  0.941010 0.94
563 -0.994441 -1.936623  0.942182 0.94
564 -0.994458 -1.940441  0.945983 0.95
565 -0.994480 -1.946632  0.952153 0.95
566 -0.994504 -1.954845  0.960341 0.96
567 -0.994529 -1.964679  0.970150 0.97
568 -0.994552 -1.975721  0.981169 0.98
569 -0.994570 -1.987584  0.993014 0.99
570 -0.994584 -1.999933  1.005349 1.01
571 -0.994593 -2.012506  1.017913 1.02
572 -0.994596 -2.025116  1.030520 1.03
573 -0.994595 -2.037658  1.043063 1.04
574 -0.994591 -2.050085  1.055494 1.06
575 -0.994586 -2.062400  1.067814 1.07
576 -0.994581 -2.074625  1.080044 1.08
577 -0.994578 -2.086781  1.092203 1.09
578 -0.994577 -2.098864  1.104287 1.10
579 -0.994580 -2.110834  1.116254 1.12
580 -0.994585 -2.122605  1.128020 1.13
581 -0.994592 -2.134059  1.139467 1.14
582 -0.994599 -2.145055  1.150456 1.15
583 -0.994604 -2.155452  1.160848 1.16
584 -0.994607 -2.165133  1.170526 1.17
585 -0.994607 -2.174020  1.179413 1.18
586 -0.994604 -2.182082  1.187479 1.19
587 -0.994598 -2.189341  1.194743 1.19
588 -0.994590 -2.195855  1.201264 1.20
589 -0.994583 -2.201708  1.207126 1.21
590 -0.994577 -2.206990  1.212413 1.21
591 -0.994573 -2.211769  1.217196 1.22
592 -0.994573 -2.216082  1.221509 1.22
593 -0.994577 -2.219914  1.225337 1.23
594 -0.994584 -2.223200  1.228617 1.23
595 -0.994594 -2.225827  1.231233 1.23
596 -0.994605 -2.227644  1.233039 1.23
597 -0.994616 -2.228485  1.233869 1.23
598 -0.994626 -2.228188  1.233562 1.23
599 -0.994633 -2.226617  1.231984 1.23
600 -0.994637 -2.223684  1.229047 1.23
601 -0.994636 -2.219356  1.224720 1.22
602 -0.994632 -2.213664  1.219032 1.22
603 -0.994624 -2.206701  1.212076 1.21
