#Step   Etot   PotE Ktot  T
418 -0.994629 -2.087708  1.093079 1.09
419 -0.994618 -2.084296  1.089679 1.09
420 -0.994603 -2.080106  1.085503 1.09
421 -0.994586 -2.075386  1.080800 1.08
422 -0.994569 -2.070413  1.075844 1.08
423 -0.994554 -2.065469  1.070915 1.07
424 -0.994542 -2.060809  1.066268 1.07
425 -0.994533 -2.056646  1.062113 1.06
426 -0.994527 -2.053135  1.058608 1.06
427 -0.994524 -2.050377  1.055853 1.06
428 -0.994523 -2.048429  1.053906 1.05
429 -0.994523 -2.047313  1.052790 1.05
430 -0.994524 -2.047031  1.052507 1.05
431 -0.994526 -2.047566  1.053040 1.05
432 -0.994529 -2.048883  1.054354 1.05
433 -0.994534 -2.050921  1.056387 1.06
434 -0.994541 -2.053591  1.059050 1.06
435 -0.994549 -2.056768  1.062219 1.06
436 -0.994560 -2.060299  1.065739 1.07
437 -0.994571 -2.064005  1.069434 1.07
438 -0.994581 -2.067702  1.073120 1.07
439 -0.994590 -2.071209  1.076619 1.08
440 -0.994597 -2.074372  1.079774 1.08
441 -0.994601 -2.077069  1.082468 1.08
442 -0.994602 -2.079228  1.084626 1.08
443 -0.994600 -2.080823  1.086223 1.09
444 -0.994595 -2.081881  1.087286 1.09
445 -0.994588 -2.082471  1.087883 1.09
446 -0.994579 -2.082696  1.088117 1.09
447 -0.994571 -2.082680  1.088110 1.09
448 -0.994563 -2.082558  1.087995 1.09
449 -0.994555 -2.082458  1.087903 1.09
450 -0.994550 -2.082497  1.087947 1.09
451 -0.994546 -2.082771  1.088225 1.09
452 -0.994544 -2.083356  1.088812 1.09
453 -0.994542 -2.084305  1.089762 1.09
454 -0.994542 -2.085654  1.091112 1.09
455 -0.994542 -2.087431  1.092889 1.09
456 -0.994541 -2.089658  1.095117 1.10
457 -0.994539 -2.092364  1.097824 1.10
458 -0.994537 -2.095588  1.101052 1.10
459 -0.994533 -2.099387  1.104854 1.10
460 -0.994528 -2.103828  1.109300 1.11
461 -0.994525 -2.108983  1.114459 1.11
462 -0.994523 -2.114909  1.120386 1.12
463 -0.994525 -2.121625  1.127100 1.13
464 -0.994532 -2.129092  1.134560 1.13
465 -0.994544 -2.137193  1.142649 1.14
466 -0.994560 -2.145735  1.151174 1.15
467 -0.994579 -2.154453  1.159874 1.16
468 -0.994599 -2.163042  1.168443 1.17
469 -0.994618 -2.171175  1.176557 1.18
470 -0.994636 -2.178533  1.183897 1.18
471 -0.994652 -2.184822  1.190171 1.19
472 -0.994665 -2.189781  1.195116 1.20
473 -0.994676 -2.193186  1.198510 1.20
474 -0.994684 -2.194856  1.200172 1.20
475 -0.994689 -2.194652  1.199962 1.20
476 -0.994691 -2.192489  1.197798 1.20
477 -0.994688 -2.188347  1.193659 1.19
478 -0.994681 -2.182274  1.187594 1.19
479 -0.994669 -2.174398  1.179730 1.18
480 -0.994653 -2.164919  1.170266 1.17
481 -0.994634 -2.154099  1.159465 1.16
482 -0.994614 -2.142245  1.147631 1.15
483 -0.994595 -2.129684  1.135089 1.14
484 -0.994577 -2.116744  1.122167 1.12
485 -0.994560 -2.103736  1.109175 1.11
486 -0.994546 -2.090948  1.096403 1.10
487 -0.994532 -2.078646  1.084115 1.08
488 -0.994519 -2.067076  1.072557 1.07
489 -0.994506 -2.056470  1.061964 1.06
490 -0.994494 -2.047053  1.052559 1.05
491 -0.994483 -2.039038  1.044555 1.04
492 -0.994474 -2.032613  1.038140 1.04
493 -0.994467 -2.027939  1.033471 1.03
494 -0.994464 -2.025122  1.030658 1.03
495 -0.994466 -2.024213  1.029747 1.03
496 -0.994473 -2.025185  1.030713 1.03
497 -0.994484 -2.027939  1.033455 1.03
498 -0.994499 -2.032294  1.037795 1.04
499 -0.994518 -2.038003  1.043485 1.04
500 -0.994539 -2.044761  1.050222 1.05
501 -0.994560 -2.052232  1.057672 1.06
502 -0.994580 -2.060071  1.065491 1.07
503 -0.994596 -2.067952  1.073356 1.07
504 -0.994609 -2.075595  1.080986 1.08
505 -0.994617 -2.082778  1.088161 1.09
506 -0.994621 -2.089352  1.094732 1.09
507 -0.994620 -2.095239  1.100619 1.10
508 -0.994616 -2.100423  1.105807 1.11
509 -0.994611 -2.104940  1.110329 1.11
510 -0.994603 -2.108866  1.114263 1.11
511 -0.994594 -2.112310  1.117717 1.12
512 -0.994583 -2.115409  1.120826 1.12
513 -0.994570 -2.118328  1.123758 1.12
514 -0.994555 -2.121264  1.126709 1.13
515 -0.994539 -2.124445  1.129906 1.13
516 -0.994523 -2.128112  1.133590 1.13
517 -0.994509 -2.132502  1.137993 1.14
518 -0.994501 -2.137807  1.143306 1.14
519 -0.994500 -2.144136  1.149636 1.15
520 -0.994508 -2.151483  1.156975 1.16
521 -0.994524 -2.159709  1.165185 1.17
522 -0.994547 -2.168548  1.174000 1.17
523 -0.994574 -2.177633  1.183060 1.18
524 -0.994601 -2.186545  1.191944 1.19
525 -0.994626 -2.194850  1.200224 1.20
526 -0.994648 -2.202145  1.207497 1.21
527 -0.994665 -2.208083  1.213418 1.21
528 -0.994678 -2.212386  1.217708 1.22
529 -0.994687 -2.214851  1.220164 1.22
530 -0.994692 -2.215349  1.220657 1.22
