#Step   Etot   PotE Ktot  T
380 -0.072865 -1.718235  1.645370 1.65
381 -0.074800 -1.722956  1.648156 1.65
382 -0.079533 -1.729488  1.649954 1.65
383 -0.086063 -1.736648  1.650586 1.65
384 -0.093209 -1.743297  1.650088 1.65
385 -0.099838 -1.748503  1.648665 1.65
386 -0.105021 -1.751639  1.646617 1.65
387 -0.108136 -1.752415  1.644280 1.64
388 -0.108893 -1.750869  1.641976 1.64
389 -0.107332 -1.747323  1.639991 1.64
390 -0.103774 -1.742332  1.638558 1.64
391 -0.098778 -1.736627  1.637849 1.64
392 -0.093070 -1.731043  1.637973 1.64
393 -0.087490 -1.726455  1.638965 1.64
394 -0.082910 -1.723696  1.640786 1.64
395 -0.080164 -1.723479  1.643314 1.64
396 -0.079964 -1.726317  1.646353 1.65
397 -0.082820 -1.732468  1.649647 1.65
398 -0.088989 -1.741901  1.652912 1.65
399 -0.098437 -1.754311  1.655873 1.66
400 -0.110858 -1.769153  1.658295 1.66
401 -0.125708 -1.785712  1.660004 1.66
402 -0.142269 -1.803164  1.660895 1.66
403 -0.159720 -1.820653  1.660933 1.66
404 -0.177202 -1.837355  1.660154 1.66
405 -0.193893 -1.852555  1.658661 1.66
406 -0.209077 -1.865704  1.656627 1.66
407 -0.222209 -1.876483  1.654273 1.65
408 -0.232969 -1.884826  1.651856 1.65
409 -0.241295 -1.890935  1.649640 1.65
410 -0.247391 -1.895257  1.647866 1.65
411 -0.251705 -1.898436  1.646731 1.65
412 -0.254881 -1.901237  1.646356 1.65
413 -0.257689 -1.904454  1.646766 1.65
414 -0.260920 -1.908788  1.647868 1.65
415 -0.265275 -1.914726  1.649451 1.65
416 -0.271239 -1.922438  1.651200 1.65
417 -0.278977 -1.931716  1.652740 1.65
418 -0.288274 -1.941981  1.653707 1.65
419 -0.298551 -1.952370  1.653820 1.65
420 -0.308939 -1.961874  1.652935 1.65
421 -0.318432 -1.969503  1.651071 1.65
422 -0.326042 -1.974439  1.648397 1.65
423 -0.330953 -1.976154  1.645200 1.65
424 -0.332640 -1.974487  1.641847 1.64
425 -0.330946 -1.969686  1.638740 1.64
426 -0.326120 -1.962406  1.636286 1.64
427 -0.318819 -1.953681  1.634862 1.63
428 -0.310082 -1.944852  1.634770 1.63
429 -0.301253 -1.937441  1.636187 1.64
430 -0.293856 -1.932969  1.639113 1.64
431 -0.289413 -1.932733  1.643320 1.64
432 -0.289219 -1.937574  1.648355 1.65
433 -0.294103 -1.947696  1.653593 1.65
434 -0.304264 -1.962616  1.658352 1.66
435 -0.319209 -1.981251  1.662042 1.66
436 -0.337853 -2.002131  1.664278 1.66
437 -0.358727 -2.023660  1.664934 1.66
438 -0.380239 -2.044346  1.664107 1.66
439 -0.400904 -2.062953  1.662049 1.66
440 -0.419490 -2.078565  1.659075 1.66
441 -0.435085 -2.090579  1.655494 1.66
442 -0.447085 -2.098660  1.651575 1.65
443 -0.455154 -2.102684  1.647530 1.65
444 -0.459169 -2.102697  1.643528 1.64
445 -0.459174 -2.098880  1.639706 1.64
446 -0.455350 -2.091535  1.636185 1.64
447 -0.447997 -2.081079  1.633082 1.63
448 -0.437534 -2.068045  1.630511 1.63
449 -0.424494 -2.053075  1.628581 1.63
450 -0.409521 -2.036911  1.627390 1.63
451 -0.393355 -2.020362  1.627007 1.63
452 -0.376808 -2.004271  1.627463 1.63
453 -0.360723 -1.989458  1.628735 1.63
454 -0.345920 -1.976659  1.630738 1.63
455 -0.333134 -1.966460  1.633326 1.63
456 -0.322950 -1.959245  1.636295 1.64
457 -0.315752 -1.955163  1.639411 1.64
458 -0.311683 -1.954115  1.642433 1.64
459 -0.310645 -1.955789  1.645144 1.65
460 -0.312325 -1.959707  1.647382 1.65
461 -0.316244 -1.965296  1.649052 1.65
462 -0.321830 -1.971955  1.650125 1.65
463 -0.328485 -1.979117  1.650632 1.65
464 -0.335640 -1.986281  1.650641 1.65
465 -0.342799 -1.993039  1.650240 1.65
466 -0.349551 -1.999075  1.649524 1.65
467 -0.355583 -2.004159  1.648577 1.65
468 -0.360663 -2.008134  1.647470 1.65
469 -0.364635 -2.010898  1.646262 1.65
470 -0.367398 -2.012390  1.644992 1.64
471 -0.368890 -2.012576  1.643686 1.64
472 -0.369076 -2.011434  1.642358 1.64
473 -0.367935 -2.008948  1.641014 1.64
474 -0.365449 -2.005106  1.639657 1.64
475 -0.361606 -1.999903  1.638297 1.64
476 -0.356400 -1.993352  1.636952 1.64
477 -0.349847 -1.985504  1.635657 1.64
478 -0.341995 -1.976457  1.634463 1.63
479 -0.332944 -1.966376  1.633432 1.63
480 -0.322859 -1.955488  1.632629 1.63
481 -0.311970 -1.944075  1.632104 1.63
482 -0.300558 -1.932441  1.631884 1.63
483 -0.288928 -1.920885  1.631958 1.63
484 -0.277376 -1.909662  1.632286 1.63
485 -0.266157 -1.898967  1.632810 1.63
486 -0.255464 -1.888939  1.633475 1.63
487 -0.245435 -1.879689  1.634254 1.63
488 -0.236183 -1.871337  1.635154 1.64
489 -0.227829 -1.864037  1.636208 1.64
490 -0.220530 -1.857966  1.637437 1.64
491 -0.214467 -1.853277  1.638810 1.64
492 -0.209792 -1.849998  1.640205 1.64
493 -0.206531 -1.847945  1.641414 1.64
494 -0.204493 -1.846678  1.642184 1.64
495 -0.203233 -1.845540  1.642307 1.64
496 -0.202090 -1.843789  1.641699 1.64
497 -0.200322 -1.840769  1.640447 1.64
498 -0.197280 -1.836069  1.638789 1.64
499 -0.192560 -1.829593  1.637032 1.64
500 -0.186073 -1.821528  1.635455 1.64
501 -0.178007 -1.812224  1.634218 1.63
502 -0.168707 -1.802058  1.633351 1.63
503 -0.158543 -1.791349  1.632806 1.63
504 -0.147831 -1.780376  1.632545 1.63
505 -0.136850 -1.769449  1.632599 1.63
506 -0.125918 -1.758968  1.633050 1.63
507 -0.115440 -1.749383  1.633943 1.63
508 -0.105869 -1.741072  1.635203 1.64
509 -0.097579 -1.734190  1.636611 1.64
510 -0.090715 -1.728584  1.637868 1.64
511 -0.085120 -1.723818  1.638698 1.64
512 -0.080356 -1.719288  1.638932 1.64
513 -0.075819 -1.714360  1.638540 1.64
514 -0.070879 -1.708491  1.637611 1.64
515 -0.064995 -1.701316  1.636320 1.64
516 -0.057803 -1.692697  1.634893 1.63
517 -0.049166 -1.682755  1.633589 1.63
518 -0.039208 -1.671885  1.632678 1.63
519 -0.028324 -1.660744  1.632420 1.63
520 -0.017174 -1.650205  1.633031 1.63
521 -0.006635 -1.641277  1.634642 1.63
522 0.002286 -1.634987  1.637273 1.64
523 0.008563 -1.632260  1.640823 1.64
524 0.011271 -1.633819  1.645090 1.65
525 0.009694 -1.640112  1.649806 1.65
526 0.003381 -1.651292  1.654673 1.65
527 -0.007817 -1.667209  1.659392 1.66
528 -0.023751 -1.687422  1.663671 1.66
529 -0.043981 -1.711220  1.667239 1.67
530 -0.067790 -1.737652  1.669862 1.67
531 -0.094229 -1.765605  1.671376 1.67
532 -0.122180 -1.793898  1.671718 1.67
533 -0.150464 -1.821404  1.670940 1.67
534 -0.177956 -1.847157  1.669201 1.67
