#Step   Etot   PotE Ktot  T
544 -0.994588 -2.084928  1.090340 1.09
545 -0.994579 -2.092647  1.098068 1.10
546 -0.994570 -2.099761  1.105191 1.11
547 -0.994563 -2.106374  1.111812 1.11
548 -0.994558 -2.112568  1.118011 1.12
549 -0.994555 -2.118398  1.123843 1.12
550 -0.994553 -2.123887  1.129334 1.13
551 -0.994553 -2.129037  1.134484 1.13
552 -0.994553 -2.133835  1.139282 1.14
553 -0.994552 -2.138270  1.143718 1.14
554 -0.994549 -2.142343  1.147793 1.15
555 -0.994545 -2.146074  1.151529 1.15
556 -0.994540 -2.149510  1.154971 1.15
557 -0.994533 -2.152717  1.158184 1.16
558 -0.994527 -2.155775  1.161248 1.16
559 -0.994521 -2.158769  1.164248 1.16
560 -0.994516 -2.161776  1.167260 1.17
561 -0.994513 -2.164856  1.170342 1.17
562 -0.994512 -2.168039  1.173527 1.17
563 -0.994514 -2.171324  1.176809 1.18
564 -0.994519 -2.174669  1.180150 1.18
565 -0.994525 -2.177999  1.183473 1.18
566 -0.994534 -2.181205  1.186671 1.19
567 -0.994543 -2.184157  1.189614 1.19
568 -0.994552 -2.186711  1.192160 1.19
569 -0.994561 -2.188725  1.194164 1.19
570 -0.994568 -2.190061  1.195492 1.20
571 -0.994575 -2.190599  1.196024 1.20
572 -0.994580 -2.190240  1.195660 1.20
573 -0.994585 -2.188905  1.194321 1.19
574 -0.994588 -2.186536  1.191948 1.19
575 -0.994590 -2.183095  1.188505 1.19
576 -0.994591 -2.178562  1.183971 1.18
577 -0.994591 -2.172935  1.178344 1.18
578 -0.994591 -2.166231  1.171640 1.17
579 -0.994589 -2.158484  1.163895 1.16
580 -0.994586 -2.149753  1.155167 1.16
581 -0.994581 -2.140119  1.145538 1.15
582 -0.994574 -2.129689  1.135115 1.14
583 -0.994566 -2.118601  1.124035 1.12
584 -0.994556 -2.107018  1.112462 1.11
585 -0.994544 -2.095134  1.100590 1.10
586 -0.994529 -2.083173  1.088643 1.09
587 -0.994514 -2.071384  1.076870 1.08
588 -0.994497 -2.060042  1.065544 1.07
589 -0.994480 -2.049432  1.054952 1.05
590 -0.994464 -2.039844  1.045380 1.05
591 -0.994450 -2.031548  1.037098 1.04
592 -0.994440 -2.024776  1.030336 1.03
593 -0.994435 -2.019697  1.025263 1.03
594 -0.994436 -2.016401  1.021965 1.02
595 -0.994444 -2.014880  1.020436 1.02
596 -0.994458 -2.015027  1.020569 1.02
597 -0.994477 -2.016640  1.022163 1.02
598 -0.994500 -2.019437  1.024938 1.02
599 -0.994524 -2.023086  1.028563 1.03
600 -0.994547 -2.027231  1.032684 1.03
601 -0.994567 -2.031528  1.036961 1.04
602 -0.994583 -2.035678  1.041095 1.04
603 -0.994592 -2.039452  1.044860 1.04
