#Step   Etot   PotE Ktot  T
479 -1.962295 -2.477223  0.514929 0.51
480 -1.962290 -2.477021  0.514730 0.51
481 -1.962287 -2.477050  0.514764 0.51
482 -1.962283 -2.477369  0.515086 0.52
483 -1.962280 -2.478028  0.515748 0.52
484 -1.962279 -2.479064  0.516786 0.52
485 -1.962278 -2.480502  0.518224 0.52
486 -1.962279 -2.482347  0.520069 0.52
487 -1.962280 -2.484587  0.522307 0.52
488 -1.962283 -2.487191  0.524908 0.52
489 -1.962287 -2.490109  0.527822 0.53
490 -1.962292 -2.493278  0.530986 0.53
491 -1.962297 -2.496621  0.534324 0.53
492 -1.962303 -2.500056  0.537753 0.54
493 -1.962308 -2.503495  0.541187 0.54
494 -1.962313 -2.506852  0.544538 0.54
495 -1.962318 -2.510044  0.547726 0.55
496 -1.962322 -2.512997  0.550675 0.55
497 -1.962325 -2.515643  0.553317 0.55
498 -1.962328 -2.517927  0.555599 0.56
499 -1.962330 -2.519804  0.557474 0.56
500 -1.962332 -2.521241  0.558910 0.56
501 -1.962332 -2.522217  0.559885 0.56
502 -1.962332 -2.522723  0.560391 0.56
503 -1.962331 -2.522761  0.560429 0.56
504 -1.962330 -2.522342  0.560012 0.56
505 -1.962328 -2.521489  0.559161 0.56
506 -1.962326 -2.520235  0.557909 0.56
507 -1.962323 -2.518618  0.556294 0.56
508 -1.962320 -2.516686  0.554366 0.55
509 -1.962317 -2.514492  0.552176 0.55
510 -1.962314 -2.512094  0.549781 0.55
511 -1.962310 -2.509552  0.547242 0.55
512 -1.962307 -2.506925  0.544618 0.54
513 -1.962304 -2.504272  0.541968 0.54
514 -1.962301 -2.501647  0.539346 0.54
515 -1.962299 -2.499102  0.536803 0.54
516 -1.962297 -2.496676  0.534379 0.53
517 -1.962296 -2.494406  0.532110 0.53
518 -1.962296 -2.492317  0.530021 0.53
519 -1.962296 -2.490426  0.528130 0.53
520 -1.962296 -2.488743  0.526447 0.53
521 -1.962296 -2.487273  0.524977 0.52
522 -1.962297 -2.486015  0.523718 0.52
523 -1.962298 -2.484965  0.522667 0.52
524 -1.962299 -2.484118  0.521819 0.52
525 -1.962299 -2.483469  0.521170 0.52
526 -1.962300 -2.483014  0.520714 0.52
527 -1.962300 -2.482750  0.520450 0.52
528 -1.962300 -2.482675  0.520375 0.52
529 -1.962300 -2.482786  0.520485 0.52
530 -1.962301 -2.483080  0.520779 0.52
531 -1.962301 -2.483553  0.521251 0.52
532 -1.962302 -2.484195  0.521892 0.52
533 -1.962303 -2.484995  0.522692 0.52
534 -1.962304 -2.485937  0.523633 0.52
535 -1.962305 -2.487005  0.524700 0.52
536 -1.962306 -2.488179  0.525873 0.53
537 -1.962307 -2.489439  0.527132 0.53
538 -1.962308 -2.490768  0.528460 0.53
539 -1.962308 -2.492150  0.529842 0.53
540 -1.962308 -2.493574  0.531265 0.53
